arrival_order,seq,delay_ms
0,0,0.0077
1,1,0.0077
2,2,0.0077
3,3,0.0077
4,4,0.0077
5,5,0.0077
6,6,0.0077
7,7,0.0077
8,8,0.0077
9,9,0.0077
10,10,0.0077
11,11,0.0077
12,12,0.0077
13,13,0.0077
14,14,0.0077
15,15,0.0077
16,16,0.0557
17,17,0.0557
18,18,0.0557
19,19,0.0557
20,20,0.0557
21,21,0.0557
22,22,0.0557
23,23,0.0557
24,24,0.0557
25,25,0.0557
26,26,0.0557
27,27,0.0557
28,28,0.0557
29,29,0.0557
30,30,0.0557
31,31,0.0557
32,32,0.1057
33,33,0.1057
34,34,0.1057
35,35,0.1057
36,36,0.1057
37,37,0.1057
38,38,0.1057
39,39,0.1057
40,40,0.1057
41,41,0.1057
42,42,0.1057
43,43,0.1057
44,44,0.1057
45,45,0.1057
46,46,0.1057
47,47,0.1057
48,48,0.1557
49,49,0.1557
50,50,0.1557
51,51,0.1557
52,52,0.1557
53,53,0.1557
54,54,0.1557
55,55,0.1557
56,56,0.1557
57,57,0.1557
58,58,0.1557
59,59,0.1557
60,60,0.1557
61,61,0.1557
62,62,0.1557
63,63,0.1557
64,64,0.0077
65,65,0.0077
66,66,0.0077
67,67,0.0077
68,68,0.0077
69,69,0.0077
70,70,0.0077
71,71,0.0077
72,72,0.0077
73,73,0.0077
74,74,0.0077
75,75,0.0077
76,76,0.0077
77,77,0.0077
78,78,0.0077
79,79,0.0077
80,80,0.0557
81,81,0.0557
82,82,0.0557
83,83,0.0557
84,84,0.0557
85,85,0.0557
86,86,0.0557
87,87,0.0557
88,88,0.0557
89,89,0.0557
90,90,0.0557
91,91,0.0557
92,92,0.0557
93,93,0.0557
94,94,0.0557
95,95,0.0557
96,96,0.1057
97,97,0.1057
98,98,0.1057
99,99,0.1057
100,100,0.1057
101,101,0.1057
102,102,0.1057
103,103,0.1057
104,104,0.1057
105,105,0.1057
106,106,0.1057
107,107,0.1057
108,108,0.1057
109,109,0.1057
110,110,0.1057
111,111,0.1057
112,112,0.1557
113,113,0.1557
114,114,0.1557
115,115,0.1557
116,116,0.1557
117,117,0.1557
118,118,0.1557
119,119,0.1557
120,120,0.1557
121,121,0.1557
122,122,0.1557
123,123,0.1557
124,124,0.1557
125,125,0.1557
126,126,0.1557
127,127,0.1557
128,128,0.0077
129,129,0.0077
130,130,0.0077
131,131,0.0077
132,132,0.0077
133,133,0.0077
134,134,0.0077
135,135,0.0077
136,136,0.0077
137,137,0.0077
138,138,0.0077
139,139,0.0077
140,140,0.0077
141,141,0.0077
142,142,0.0077
143,143,0.0077
144,144,0.0557
145,145,0.0557
146,146,0.0557
147,147,0.0557
148,148,0.0557
149,149,0.0557
150,150,0.0557
151,151,0.0557
152,152,0.0557
153,153,0.0557
154,154,0.0557
155,155,0.0557
156,156,0.0557
157,157,0.0557
158,158,0.0557
159,159,0.0557
160,160,0.1057
161,161,0.1057
162,162,0.1057
163,163,0.1057
164,164,0.1057
165,165,0.1057
166,166,0.1057
167,167,0.1057
168,168,0.1057
169,169,0.1057
170,170,0.1057
171,171,0.1057
172,172,0.1057
173,173,0.1057
174,174,0.1057
175,175,0.1057
176,176,0.1557
177,177,0.1557
178,178,0.1557
179,179,0.1557
180,180,0.1557
181,181,0.1557
182,182,0.1557
183,183,0.1557
184,184,0.1557
185,185,0.1557
186,186,0.1557
187,187,0.1557
188,188,0.1557
189,189,0.1557
190,190,0.1557
191,191,0.1557
192,192,0.0077
193,193,0.0077
194,194,0.0077
195,195,0.0077
196,196,0.0077
197,197,0.0077
198,198,0.0077
199,199,0.0077
200,200,0.0077
201,201,0.0077
202,202,0.0077
203,203,0.0077
204,204,0.0077
205,205,0.0077
206,206,0.0077
207,207,0.0077
208,208,0.0557
209,209,0.0557
210,210,0.0557
211,211,0.0557
212,212,0.0557
213,213,0.0557
214,214,0.0557
215,215,0.0557
216,216,0.0557
217,217,0.0557
218,218,0.0557
219,219,0.0557
220,220,0.0557
221,221,0.0557
222,222,0.0557
223,223,0.0557
224,224,0.1057
225,225,0.1057
226,226,0.1057
227,227,0.1057
228,228,0.1057
229,229,0.1057
230,230,0.1057
231,231,0.1057
232,232,0.1057
233,233,0.1057
234,234,0.1057
235,235,0.1057
236,236,0.1057
237,237,0.1057
238,238,0.1057
239,239,0.1057
240,240,0.1557
241,241,0.1557
242,242,0.1557
243,243,0.1557
244,244,0.1557
245,245,0.1557
246,246,0.1557
247,247,0.1557
248,248,0.1557
249,249,0.1557
250,250,0.1557
251,251,0.1557
252,252,0.1557
253,253,0.1557
254,254,0.1557
255,255,0.1557
256,256,0.0077
257,257,0.0077
258,258,0.0077
259,259,0.0077
260,260,0.0077
261,261,0.0077
262,262,0.0077
263,263,0.0077
264,264,0.0077
265,265,0.0077
266,266,0.0077
267,267,0.0077
268,268,0.0077
269,269,0.0077
270,270,0.0077
271,271,0.0077
272,272,0.0557
273,273,0.0557
274,274,0.0557
275,275,0.0557
276,276,0.0557
277,277,0.0557
278,278,0.0557
279,279,0.0557
280,280,0.0557
281,281,0.0557
282,282,0.0557
283,283,0.0557
284,284,0.0557
285,285,0.0557
286,286,0.0557
287,287,0.0557
288,288,0.1057
289,289,0.1057
290,290,0.1057
291,291,0.1057
292,292,0.1057
293,293,0.1057
294,294,0.1057
295,295,0.1057
296,296,0.1057
297,297,0.1057
298,298,0.1057
299,299,0.1057
300,300,0.1057
301,301,0.1057
302,302,0.1057
303,303,0.1057
304,304,0.1557
305,305,0.1557
306,306,0.1557
307,307,0.1557
308,308,0.1557
309,309,0.1557
310,310,0.1557
311,311,0.1557
312,312,0.1557
313,313,0.1557
314,314,0.1557
315,315,0.1557
316,316,0.1557
317,317,0.1557
318,318,0.1557
319,319,0.1557
320,320,0.0077
321,321,0.0077
322,322,0.0077
323,323,0.0077
324,324,0.0077
325,325,0.0077
326,326,0.0077
327,327,0.0077
328,328,0.0077
329,329,0.0077
330,330,0.0077
331,331,0.0077
332,332,0.0077
333,333,0.0077
334,334,0.0077
335,335,0.0077
336,336,0.0557
337,337,0.0557
338,338,0.0557
339,339,0.0557
340,340,0.0557
341,341,0.0557
342,342,0.0557
343,343,0.0557
344,344,0.0557
345,345,0.0557
346,346,0.0557
347,347,0.0557
348,348,0.0557
349,349,0.0557
350,350,0.0557
351,351,0.0557
352,352,0.1057
353,353,0.1057
354,354,0.1057
355,355,0.1057
356,356,0.1057
357,357,0.1057
358,358,0.1057
359,359,0.1057
360,360,0.1057
361,361,0.1057
362,362,0.1057
363,363,0.1057
364,364,0.1057
365,365,0.1057
366,366,0.1057
367,367,0.1057
368,368,0.1557
369,369,0.1557
370,370,0.1557
371,371,0.1557
372,372,0.1557
373,373,0.1557
374,374,0.1557
375,375,0.1557
376,376,0.1557
377,377,0.1557
378,378,0.1557
379,379,0.1557
380,380,0.1557
381,381,0.1557
382,382,0.1557
383,383,0.1557
384,384,0.0077
385,385,0.0077
386,386,0.0077
387,387,0.0077
388,388,0.0077
389,389,0.0077
390,390,0.0077
391,391,0.0077
392,392,0.0077
393,393,0.0077
394,394,0.0077
395,395,0.0077
396,396,0.0077
397,397,0.0077
398,398,0.0077
399,399,0.0077
