arrival_order,seq,delay_ms
0,0,0.0150
1,1,0.0150
2,2,0.0150
3,3,0.0150
4,4,0.0150
5,5,0.0150
6,6,0.0150
7,7,0.0150
8,8,0.0150
9,9,0.0150
10,10,0.0150
11,11,0.0150
12,12,0.0150
13,13,0.0150
14,14,0.0150
15,15,0.0150
16,16,0.0150
17,17,0.0150
18,18,0.0150
19,19,0.0150
20,20,0.0150
21,21,0.0150
22,22,0.0150
23,23,0.0150
24,24,0.0150
25,25,0.0150
26,26,0.0150
27,27,0.0150
28,28,0.0150
29,29,0.0150
30,30,0.0150
31,31,0.0150
32,32,0.0150
33,33,0.0150
34,34,0.0150
35,35,0.0150
36,36,0.0150
37,37,0.0150
38,38,0.0150
39,39,0.0150
40,40,0.0150
41,41,0.0150
42,42,0.0150
43,43,0.0150
44,44,0.0150
45,45,0.0150
46,46,0.0150
47,47,0.0150
48,48,0.0150
49,49,0.0150
50,50,0.0150
51,51,0.0150
52,52,0.0150
53,53,0.0150
54,54,0.0150
55,55,0.0150
56,56,0.0150
57,57,0.0150
58,58,0.0150
59,59,0.0150
60,60,0.0150
61,61,0.0150
62,62,0.0150
63,63,0.0150
64,64,0.0630
65,65,0.0630
66,66,0.0630
67,67,0.0630
68,68,0.0630
69,69,0.0630
70,70,0.0630
71,71,0.0630
72,72,0.0630
73,73,0.0630
74,74,0.0630
75,75,0.0630
76,76,0.0630
77,77,0.0630
78,78,0.0630
79,79,0.0630
80,80,0.0630
81,81,0.0630
82,82,0.0630
83,83,0.0630
84,84,0.0630
85,85,0.0630
86,86,0.0630
87,87,0.0630
88,88,0.0630
89,89,0.0630
90,90,0.0630
91,91,0.0630
92,92,0.0630
93,93,0.0630
94,94,0.0630
95,95,0.0630
96,96,0.0630
97,97,0.0630
98,98,0.0630
99,99,0.0630
100,100,0.0630
101,101,0.0630
102,102,0.0630
103,103,0.0630
104,104,0.0630
105,105,0.0630
106,106,0.0630
107,107,0.0630
108,108,0.0630
109,109,0.0630
110,110,0.0630
111,111,0.0630
112,112,0.0630
113,113,0.0630
114,114,0.0630
115,115,0.0630
116,116,0.0630
117,117,0.0630
118,118,0.0630
119,119,0.0630
120,120,0.0630
121,121,0.0630
122,122,0.0630
123,123,0.0630
124,124,0.0630
125,125,0.0630
126,126,0.0630
127,127,0.0630
128,128,0.1130
129,129,0.1130
130,130,0.1130
131,131,0.1130
132,132,0.1130
133,133,0.1130
134,134,0.1130
135,135,0.1130
136,136,0.1130
137,137,0.1130
138,138,0.1130
139,139,0.1130
140,140,0.1130
141,141,0.1130
142,142,0.1130
143,143,0.1130
144,144,0.1130
145,145,0.1130
146,146,0.1130
147,147,0.1130
148,148,0.1130
149,149,0.1130
150,150,0.1130
151,151,0.1130
152,152,0.1130
153,153,0.1130
154,154,0.1130
155,155,0.1130
156,156,0.1130
157,157,0.1130
158,158,0.1130
159,159,0.1130
160,160,0.1130
161,161,0.1130
162,162,0.1130
163,163,0.1130
164,164,0.1130
165,165,0.1130
166,166,0.1130
167,167,0.1130
168,168,0.1130
169,169,0.1130
170,170,0.1130
171,171,0.1130
172,172,0.1130
173,173,0.1130
174,174,0.1130
175,175,0.1130
176,176,0.1130
177,177,0.1130
178,178,0.1130
179,179,0.1130
180,180,0.1130
181,181,0.1130
182,182,0.1130
183,183,0.1130
184,184,0.1130
185,185,0.1130
186,186,0.1130
187,187,0.1130
188,188,0.1130
189,189,0.1130
190,190,0.1130
191,191,0.1130
192,192,0.1630
193,193,0.1630
194,194,0.1630
195,195,0.1630
196,196,0.1630
197,197,0.1630
198,198,0.1630
199,199,0.1630
200,200,0.1630
201,201,0.1630
202,202,0.1630
203,203,0.1630
204,204,0.1630
205,205,0.1630
206,206,0.1630
207,207,0.1630
208,208,0.1630
209,209,0.1630
210,210,0.1630
211,211,0.1630
212,212,0.1630
213,213,0.1630
214,214,0.1630
215,215,0.1630
216,216,0.1630
217,217,0.1630
218,218,0.1630
219,219,0.1630
220,220,0.1630
221,221,0.1630
222,222,0.1630
223,223,0.1630
224,224,0.1630
225,225,0.1630
226,226,0.1630
227,227,0.1630
228,228,0.1630
229,229,0.1630
230,230,0.1630
231,231,0.1630
232,232,0.1630
233,233,0.1630
234,234,0.1630
235,235,0.1630
236,236,0.1630
237,237,0.1630
238,238,0.1630
239,239,0.1630
240,240,0.1630
241,241,0.1630
242,242,0.1630
243,243,0.1630
244,244,0.1630
245,245,0.1630
246,246,0.1630
247,247,0.1630
248,248,0.1630
249,249,0.1630
250,250,0.1630
251,251,0.1630
252,252,0.1630
253,253,0.1630
254,254,0.1630
255,255,0.1630
256,256,0.0150
257,257,0.0150
258,258,0.0150
259,259,0.0150
260,260,0.0150
261,261,0.0150
262,262,0.0150
263,263,0.0150
264,264,0.0150
265,265,0.0150
266,266,0.0150
267,267,0.0150
268,268,0.0150
269,269,0.0150
270,270,0.0150
271,271,0.0150
272,272,0.0150
273,273,0.0150
274,274,0.0150
275,275,0.0150
276,276,0.0150
277,277,0.0150
278,278,0.0150
279,279,0.0150
280,280,0.0150
281,281,0.0150
282,282,0.0150
283,283,0.0150
284,284,0.0150
285,285,0.0150
286,286,0.0150
287,287,0.0150
288,288,0.0150
289,289,0.0150
290,290,0.0150
291,291,0.0150
292,292,0.0150
293,293,0.0150
294,294,0.0150
295,295,0.0150
296,296,0.0150
297,297,0.0150
298,298,0.0150
299,299,0.0150
300,300,0.0150
301,301,0.0150
302,302,0.0150
303,303,0.0150
304,304,0.0150
305,305,0.0150
306,306,0.0150
307,307,0.0150
308,308,0.0150
309,309,0.0150
310,310,0.0150
311,311,0.0150
312,312,0.0150
313,313,0.0150
314,314,0.0150
315,315,0.0150
316,316,0.0150
317,317,0.0150
318,318,0.0150
319,319,0.0150
320,320,0.0630
321,321,0.0630
322,322,0.0630
323,323,0.0630
324,324,0.0630
325,325,0.0630
326,326,0.0630
327,327,0.0630
328,328,0.0630
329,329,0.0630
330,330,0.0630
331,331,0.0630
332,332,0.0630
333,333,0.0630
334,334,0.0630
335,335,0.0630
336,336,0.0630
337,337,0.0630
338,338,0.0630
339,339,0.0630
340,340,0.0630
341,341,0.0630
342,342,0.0630
343,343,0.0630
344,344,0.0630
345,345,0.0630
346,346,0.0630
347,347,0.0630
348,348,0.0630
349,349,0.0630
350,350,0.0630
351,351,0.0630
352,352,0.0630
353,353,0.0630
354,354,0.0630
355,355,0.0630
356,356,0.0630
357,357,0.0630
358,358,0.0630
359,359,0.0630
360,360,0.0630
361,361,0.0630
362,362,0.0630
363,363,0.0630
364,364,0.0630
365,365,0.0630
366,366,0.0630
367,367,0.0630
368,368,0.0630
369,369,0.0630
370,370,0.0630
371,371,0.0630
372,372,0.0630
373,373,0.0630
374,374,0.0630
375,375,0.0630
376,376,0.0630
377,377,0.0630
378,378,0.0630
379,379,0.0630
380,380,0.0630
381,381,0.0630
382,382,0.0630
383,383,0.0630
384,384,0.1130
385,385,0.1130
386,386,0.1130
387,387,0.1130
388,388,0.1130
389,389,0.1130
390,390,0.1130
391,391,0.1130
392,392,0.1130
393,393,0.1130
394,394,0.1130
395,395,0.1130
396,396,0.1130
397,397,0.1130
398,398,0.1130
399,399,0.1130
