arrival_order,seq,delay_ms
0,0,0.0077
1,1,0.0077
2,2,0.0077
3,3,0.0077
4,4,0.0077
5,5,0.0077
6,6,0.0077
7,7,0.0077
8,8,0.0077
9,9,0.0077
10,10,0.0077
11,11,0.0077
12,12,0.0077
13,13,0.0077
14,14,0.0077
15,15,0.0077
16,16,0.0077
17,17,0.0077
18,18,0.0077
19,19,0.0077
20,20,0.0077
21,21,0.0077
22,22,0.0077
23,23,0.0077
24,24,0.0077
25,25,0.0077
26,26,0.0077
27,27,0.0077
28,28,0.0077
29,29,0.0077
30,30,0.0077
31,31,0.0077
32,32,0.0077
33,33,0.0077
34,34,0.0077
35,35,0.0077
36,36,0.0077
37,37,0.0077
38,38,0.0077
39,39,0.0077
40,40,0.0077
41,41,0.0077
42,42,0.0077
43,43,0.0077
44,44,0.0077
45,45,0.0077
46,46,0.0077
47,47,0.0077
48,48,0.0077
49,49,0.0077
50,50,0.0077
51,51,0.0077
52,52,0.0077
53,53,0.0077
54,54,0.0077
55,55,0.0077
56,56,0.0077
57,57,0.0077
58,58,0.0077
59,59,0.0077
60,60,0.0077
61,61,0.0077
62,62,0.0077
63,63,0.0077
64,64,0.0557
65,65,0.0557
66,66,0.0557
67,67,0.0557
68,68,0.0557
69,69,0.0557
70,70,0.0557
71,71,0.0557
72,72,0.0557
73,73,0.0557
74,74,0.0557
75,75,0.0557
76,76,0.0557
77,77,0.0557
78,78,0.0557
79,79,0.0557
80,80,0.0557
81,81,0.0557
82,82,0.0557
83,83,0.0557
84,84,0.0557
85,85,0.0557
86,86,0.0557
87,87,0.0557
88,88,0.0557
89,89,0.0557
90,90,0.0557
91,91,0.0557
92,92,0.0557
93,93,0.0557
94,94,0.0557
95,95,0.0557
96,96,0.0557
97,97,0.0557
98,98,0.0557
99,99,0.0557
100,100,0.0557
101,101,0.0557
102,102,0.0557
103,103,0.0557
104,104,0.0557
105,105,0.0557
106,106,0.0557
107,107,0.0557
108,108,0.0557
109,109,0.0557
110,110,0.0557
111,111,0.0557
112,112,0.0557
113,113,0.0557
114,114,0.0557
115,115,0.0557
116,116,0.0557
117,117,0.0557
118,118,0.0557
119,119,0.0557
120,120,0.0557
121,121,0.0557
122,122,0.0557
123,123,0.0557
124,124,0.0557
125,125,0.0557
126,126,0.0557
127,127,0.0557
128,128,0.1057
129,129,0.1057
130,130,0.1057
131,131,0.1057
132,132,0.1057
133,133,0.1057
134,134,0.1057
135,135,0.1057
136,136,0.1057
137,137,0.1057
138,138,0.1057
139,139,0.1057
140,140,0.1057
141,141,0.1057
142,142,0.1057
143,143,0.1057
144,144,0.1057
145,145,0.1057
146,146,0.1057
147,147,0.1057
148,148,0.1057
149,149,0.1057
150,150,0.1057
151,151,0.1057
152,152,0.1057
153,153,0.1057
154,154,0.1057
155,155,0.1057
156,156,0.1057
157,157,0.1057
158,158,0.1057
159,159,0.1057
160,160,0.1057
161,161,0.1057
162,162,0.1057
163,163,0.1057
164,164,0.1057
165,165,0.1057
166,166,0.1057
167,167,0.1057
168,168,0.1057
169,169,0.1057
170,170,0.1057
171,171,0.1057
172,172,0.1057
173,173,0.1057
174,174,0.1057
175,175,0.1057
176,176,0.1057
177,177,0.1057
178,178,0.1057
179,179,0.1057
180,180,0.1057
181,181,0.1057
182,182,0.1057
183,183,0.1057
184,184,0.1057
185,185,0.1057
186,186,0.1057
187,187,0.1057
188,188,0.1057
189,189,0.1057
190,190,0.1057
191,191,0.1057
192,192,0.1557
193,193,0.1557
194,194,0.1557
195,195,0.1557
196,196,0.1557
197,197,0.1557
198,198,0.1557
199,199,0.1557
200,200,0.1557
201,201,0.1557
202,202,0.1557
203,203,0.1557
204,204,0.1557
205,205,0.1557
206,206,0.1557
207,207,0.1557
208,208,0.1557
209,209,0.1557
210,210,0.1557
211,211,0.1557
212,212,0.1557
213,213,0.1557
214,214,0.1557
215,215,0.1557
216,216,0.1557
217,217,0.1557
218,218,0.1557
219,219,0.1557
220,220,0.1557
221,221,0.1557
222,222,0.1557
223,223,0.1557
224,224,0.1557
225,225,0.1557
226,226,0.1557
227,227,0.1557
228,228,0.1557
229,229,0.1557
230,230,0.1557
231,231,0.1557
232,232,0.1557
233,233,0.1557
234,234,0.1557
235,235,0.1557
236,236,0.1557
237,237,0.1557
238,238,0.1557
239,239,0.1557
240,240,0.1557
241,241,0.1557
242,242,0.1557
243,243,0.1557
244,244,0.1557
245,245,0.1557
246,246,0.1557
247,247,0.1557
248,248,0.1557
249,249,0.1557
250,250,0.1557
251,251,0.1557
252,252,0.1557
253,253,0.1557
254,254,0.1557
255,255,0.1557
256,256,0.0077
257,257,0.0077
258,258,0.0077
259,259,0.0077
260,260,0.0077
261,261,0.0077
262,262,0.0077
263,263,0.0077
264,264,0.0077
265,265,0.0077
266,266,0.0077
267,267,0.0077
268,268,0.0077
269,269,0.0077
270,270,0.0077
271,271,0.0077
272,272,0.0077
273,273,0.0077
274,274,0.0077
275,275,0.0077
276,276,0.0077
277,277,0.0077
278,278,0.0077
279,279,0.0077
280,280,0.0077
281,281,0.0077
282,282,0.0077
283,283,0.0077
284,284,0.0077
285,285,0.0077
286,286,0.0077
287,287,0.0077
288,288,0.0077
289,289,0.0077
290,290,0.0077
291,291,0.0077
292,292,0.0077
293,293,0.0077
294,294,0.0077
295,295,0.0077
296,296,0.0077
297,297,0.0077
298,298,0.0077
299,299,0.0077
300,300,0.0077
301,301,0.0077
302,302,0.0077
303,303,0.0077
304,304,0.0077
305,305,0.0077
306,306,0.0077
307,307,0.0077
308,308,0.0077
309,309,0.0077
310,310,0.0077
311,311,0.0077
312,312,0.0077
313,313,0.0077
314,314,0.0077
315,315,0.0077
316,316,0.0077
317,317,0.0077
318,318,0.0077
319,319,0.0077
320,320,0.0557
321,321,0.0557
322,322,0.0557
323,323,0.0557
324,324,0.0557
325,325,0.0557
326,326,0.0557
327,327,0.0557
328,328,0.0557
329,329,0.0557
330,330,0.0557
331,331,0.0557
332,332,0.0557
333,333,0.0557
334,334,0.0557
335,335,0.0557
336,336,0.0557
337,337,0.0557
338,338,0.0557
339,339,0.0557
340,340,0.0557
341,341,0.0557
342,342,0.0557
343,343,0.0557
344,344,0.0557
345,345,0.0557
346,346,0.0557
347,347,0.0557
348,348,0.0557
349,349,0.0557
350,350,0.0557
351,351,0.0557
352,352,0.0557
353,353,0.0557
354,354,0.0557
355,355,0.0557
356,356,0.0557
357,357,0.0557
358,358,0.0557
359,359,0.0557
360,360,0.0557
361,361,0.0557
362,362,0.0557
363,363,0.0557
364,364,0.0557
365,365,0.0557
366,366,0.0557
367,367,0.0557
368,368,0.0557
369,369,0.0557
370,370,0.0557
371,371,0.0557
372,372,0.0557
373,373,0.0557
374,374,0.0557
375,375,0.0557
376,376,0.0557
377,377,0.0557
378,378,0.0557
379,379,0.0557
380,380,0.0557
381,381,0.0557
382,382,0.0557
383,383,0.0557
384,384,0.1057
385,385,0.1057
386,386,0.1057
387,387,0.1057
388,388,0.1057
389,389,0.1057
390,390,0.1057
391,391,0.1057
392,392,0.1057
393,393,0.1057
394,394,0.1057
395,395,0.1057
396,396,0.1057
397,397,0.1057
398,398,0.1057
399,399,0.1057
