arrival_order,seq,delay_ms
0,0,0.0077
1,4,0.0077
2,1,0.0557
3,8,0.0077
4,5,0.0557
5,2,0.1057
6,12,0.0077
7,9,0.0557
8,6,0.1057
9,16,0.0077
10,3,0.1557
11,13,0.0557
12,10,0.1057
13,20,0.0077
14,7,0.1557
15,17,0.0557
16,14,0.1057
17,24,0.0077
18,11,0.1557
19,21,0.0557
20,18,0.1057
21,28,0.0077
22,15,0.1557
23,25,0.0557
24,22,0.1057
25,32,0.0077
26,19,0.1557
27,29,0.0557
28,26,0.1057
29,36,0.0077
30,23,0.1557
31,33,0.0557
32,30,0.1057
33,40,0.0077
34,27,0.1557
35,37,0.0557
36,34,0.1057
37,44,0.0077
38,31,0.1557
39,41,0.0557
40,38,0.1057
41,48,0.0077
42,35,0.1557
43,45,0.0557
44,42,0.1057
45,52,0.0077
46,39,0.1557
47,49,0.0557
48,46,0.1057
49,56,0.0077
50,43,0.1557
51,53,0.0557
52,50,0.1057
53,60,0.0077
54,47,0.1557
55,57,0.0557
56,54,0.1057
57,64,0.0077
58,51,0.1557
59,61,0.0557
60,58,0.1057
61,68,0.0077
62,55,0.1557
63,65,0.0557
64,62,0.1057
65,72,0.0077
66,59,0.1557
67,69,0.0557
68,66,0.1057
69,76,0.0077
70,63,0.1557
71,73,0.0557
72,70,0.1057
73,80,0.0077
74,67,0.1557
75,77,0.0557
76,74,0.1057
77,84,0.0077
78,71,0.1557
79,81,0.0557
80,78,0.1057
81,88,0.0077
82,75,0.1557
83,85,0.0557
84,82,0.1057
85,92,0.0077
86,79,0.1557
87,89,0.0557
88,86,0.1057
89,96,0.0077
90,83,0.1557
91,93,0.0557
92,90,0.1057
93,100,0.0077
94,87,0.1557
95,97,0.0557
96,94,0.1057
97,104,0.0077
98,91,0.1557
99,101,0.0557
100,98,0.1057
101,108,0.0077
102,95,0.1557
103,105,0.0557
104,102,0.1057
105,112,0.0077
106,99,0.1557
107,109,0.0557
108,106,0.1057
109,116,0.0077
110,103,0.1557
111,113,0.0557
112,110,0.1057
113,120,0.0077
114,107,0.1557
115,117,0.0557
116,114,0.1057
117,124,0.0077
118,111,0.1557
119,121,0.0557
120,118,0.1057
121,128,0.0077
122,115,0.1557
123,125,0.0557
124,122,0.1057
125,132,0.0077
126,119,0.1557
127,129,0.0557
128,126,0.1057
129,136,0.0077
130,123,0.1557
131,133,0.0557
132,130,0.1057
133,140,0.0077
134,127,0.1557
135,137,0.0557
136,134,0.1057
137,144,0.0077
138,131,0.1557
139,141,0.0557
140,138,0.1057
141,148,0.0077
142,135,0.1557
143,145,0.0557
144,142,0.1057
145,152,0.0077
146,139,0.1557
147,149,0.0557
148,146,0.1057
149,156,0.0077
150,143,0.1557
151,153,0.0557
152,150,0.1057
153,160,0.0077
154,147,0.1557
155,157,0.0557
156,154,0.1057
157,164,0.0077
158,151,0.1557
159,161,0.0557
160,158,0.1057
161,168,0.0077
162,155,0.1557
163,165,0.0557
164,162,0.1057
165,172,0.0077
166,159,0.1557
167,169,0.0557
168,166,0.1057
169,176,0.0077
170,163,0.1557
171,173,0.0557
172,170,0.1057
173,180,0.0077
174,167,0.1557
175,177,0.0557
176,174,0.1057
177,184,0.0077
178,171,0.1557
179,181,0.0557
180,178,0.1057
181,188,0.0077
182,175,0.1557
183,185,0.0557
184,182,0.1057
185,192,0.0077
186,179,0.1557
187,189,0.0557
188,186,0.1057
189,196,0.0077
190,183,0.1557
191,193,0.0557
192,190,0.1057
193,200,0.0077
194,187,0.1557
195,197,0.0557
196,194,0.1057
197,204,0.0077
198,191,0.1557
199,201,0.0557
200,198,0.1057
201,208,0.0077
202,195,0.1557
203,205,0.0557
204,202,0.1057
205,212,0.0077
206,199,0.1557
207,209,0.0557
208,206,0.1057
209,216,0.0077
210,203,0.1557
211,213,0.0557
212,210,0.1057
213,220,0.0077
214,207,0.1557
215,217,0.0557
216,214,0.1057
217,224,0.0077
218,211,0.1557
219,221,0.0557
220,218,0.1057
221,228,0.0077
222,215,0.1557
223,225,0.0557
224,222,0.1057
225,232,0.0077
226,219,0.1557
227,229,0.0557
228,226,0.1057
229,236,0.0077
230,223,0.1557
231,233,0.0557
232,230,0.1057
233,240,0.0077
234,227,0.1557
235,237,0.0557
236,234,0.1057
237,244,0.0077
238,231,0.1557
239,241,0.0557
240,238,0.1057
241,248,0.0077
242,235,0.1557
243,245,0.0557
244,242,0.1057
245,252,0.0077
246,239,0.1557
247,249,0.0557
248,246,0.1057
249,256,0.0077
250,243,0.1557
251,253,0.0557
252,250,0.1057
253,260,0.0077
254,247,0.1557
255,257,0.0557
256,254,0.1057
257,264,0.0077
258,251,0.1557
259,261,0.0557
260,258,0.1057
261,268,0.0077
262,255,0.1557
263,265,0.0557
264,262,0.1057
265,272,0.0077
266,259,0.1557
267,269,0.0557
268,266,0.1057
269,276,0.0077
270,263,0.1557
271,273,0.0557
272,270,0.1057
273,280,0.0077
274,267,0.1557
275,277,0.0557
276,274,0.1057
277,284,0.0077
278,271,0.1557
279,281,0.0557
280,278,0.1057
281,288,0.0077
282,275,0.1557
283,285,0.0557
284,282,0.1057
285,292,0.0077
286,279,0.1557
287,289,0.0557
288,286,0.1057
289,296,0.0077
290,283,0.1557
291,293,0.0557
292,290,0.1057
293,300,0.0077
294,287,0.1557
295,297,0.0557
296,294,0.1057
297,304,0.0077
298,291,0.1557
299,301,0.0557
300,298,0.1057
301,308,0.0077
302,295,0.1557
303,305,0.0557
304,302,0.1057
305,312,0.0077
306,299,0.1557
307,309,0.0557
308,306,0.1057
309,316,0.0077
310,303,0.1557
311,313,0.0557
312,310,0.1057
313,320,0.0077
314,307,0.1557
315,317,0.0557
316,314,0.1057
317,324,0.0077
318,311,0.1557
319,321,0.0557
320,318,0.1057
321,328,0.0077
322,315,0.1557
323,325,0.0557
324,322,0.1057
325,332,0.0077
326,319,0.1557
327,329,0.0557
328,326,0.1057
329,336,0.0077
330,323,0.1557
331,333,0.0557
332,330,0.1057
333,340,0.0077
334,327,0.1557
335,337,0.0557
336,334,0.1057
337,344,0.0077
338,331,0.1557
339,341,0.0557
340,338,0.1057
341,348,0.0077
342,335,0.1557
343,345,0.0557
344,342,0.1057
345,352,0.0077
346,339,0.1557
347,349,0.0557
348,346,0.1057
349,356,0.0077
350,343,0.1557
351,353,0.0557
352,350,0.1057
353,360,0.0077
354,347,0.1557
355,357,0.0557
356,354,0.1057
357,364,0.0077
358,351,0.1557
359,361,0.0557
360,358,0.1057
361,368,0.0077
362,355,0.1557
363,365,0.0557
364,362,0.1057
365,372,0.0077
366,359,0.1557
367,369,0.0557
368,366,0.1057
369,376,0.0077
370,363,0.1557
371,373,0.0557
372,370,0.1057
373,380,0.0077
374,367,0.1557
375,377,0.0557
376,374,0.1057
377,384,0.0077
378,371,0.1557
379,381,0.0557
380,378,0.1057
381,388,0.0077
382,375,0.1557
383,385,0.0557
384,382,0.1057
385,392,0.0077
386,379,0.1557
387,389,0.0557
388,386,0.1057
389,396,0.0077
390,383,0.1557
391,393,0.0557
392,390,0.1057
393,387,0.1557
394,397,0.0557
395,394,0.1057
396,391,0.1557
397,398,0.1057
398,395,0.1557
399,399,0.1557
