arrival_order,seq,delay_ms
0,0,0.0150
1,1,0.0150
2,2,0.0150
3,3,0.0150
4,4,0.0150
5,5,0.0150
6,6,0.0150
7,7,0.0150
8,8,0.0150
9,9,0.0150
10,10,0.0150
11,11,0.0150
12,12,0.0150
13,13,0.0150
14,14,0.0150
15,15,0.0150
16,16,0.0630
17,17,0.0630
18,18,0.0630
19,19,0.0630
20,20,0.0630
21,21,0.0630
22,22,0.0630
23,23,0.0630
24,24,0.0630
25,25,0.0630
26,26,0.0630
27,27,0.0630
28,28,0.0630
29,29,0.0630
30,30,0.0630
31,31,0.0630
32,32,0.1130
33,33,0.1130
34,34,0.1130
35,35,0.1130
36,36,0.1130
37,37,0.1130
38,38,0.1130
39,39,0.1130
40,40,0.1130
41,41,0.1130
42,42,0.1130
43,43,0.1130
44,44,0.1130
45,45,0.1130
46,46,0.1130
47,47,0.1130
48,48,0.1630
49,49,0.1630
50,50,0.1630
51,51,0.1630
52,52,0.1630
53,53,0.1630
54,54,0.1630
55,55,0.1630
56,56,0.1630
57,57,0.1630
58,58,0.1630
59,59,0.1630
60,60,0.1630
61,61,0.1630
62,62,0.1630
63,63,0.1630
64,64,0.0150
65,65,0.0150
66,66,0.0150
67,67,0.0150
68,68,0.0150
69,69,0.0150
70,70,0.0150
71,71,0.0150
72,72,0.0150
73,73,0.0150
74,74,0.0150
75,75,0.0150
76,76,0.0150
77,77,0.0150
78,78,0.0150
79,79,0.0150
80,80,0.0630
81,81,0.0630
82,82,0.0630
83,83,0.0630
84,84,0.0630
85,85,0.0630
86,86,0.0630
87,87,0.0630
88,88,0.0630
89,89,0.0630
90,90,0.0630
91,91,0.0630
92,92,0.0630
93,93,0.0630
94,94,0.0630
95,95,0.0630
96,96,0.1130
97,97,0.1130
98,98,0.1130
99,99,0.1130
100,100,0.1130
101,101,0.1130
102,102,0.1130
103,103,0.1130
104,104,0.1130
105,105,0.1130
106,106,0.1130
107,107,0.1130
108,108,0.1130
109,109,0.1130
110,110,0.1130
111,111,0.1130
112,112,0.1630
113,113,0.1630
114,114,0.1630
115,115,0.1630
116,116,0.1630
117,117,0.1630
118,118,0.1630
119,119,0.1630
120,120,0.1630
121,121,0.1630
122,122,0.1630
123,123,0.1630
124,124,0.1630
125,125,0.1630
126,126,0.1630
127,127,0.1630
128,128,0.0150
129,129,0.0150
130,130,0.0150
131,131,0.0150
132,132,0.0150
133,133,0.0150
134,134,0.0150
135,135,0.0150
136,136,0.0150
137,137,0.0150
138,138,0.0150
139,139,0.0150
140,140,0.0150
141,141,0.0150
142,142,0.0150
143,143,0.0150
144,144,0.0630
145,145,0.0630
146,146,0.0630
147,147,0.0630
148,148,0.0630
149,149,0.0630
150,150,0.0630
151,151,0.0630
152,152,0.0630
153,153,0.0630
154,154,0.0630
155,155,0.0630
156,156,0.0630
157,157,0.0630
158,158,0.0630
159,159,0.0630
160,160,0.1130
161,161,0.1130
162,162,0.1130
163,163,0.1130
164,164,0.1130
165,165,0.1130
166,166,0.1130
167,167,0.1130
168,168,0.1130
169,169,0.1130
170,170,0.1130
171,171,0.1130
172,172,0.1130
173,173,0.1130
174,174,0.1130
175,175,0.1130
176,176,0.1630
177,177,0.1630
178,178,0.1630
179,179,0.1630
180,180,0.1630
181,181,0.1630
182,182,0.1630
183,183,0.1630
184,184,0.1630
185,185,0.1630
186,186,0.1630
187,187,0.1630
188,188,0.1630
189,189,0.1630
190,190,0.1630
191,191,0.1630
192,192,0.0150
193,193,0.0150
194,194,0.0150
195,195,0.0150
196,196,0.0150
197,197,0.0150
198,198,0.0150
199,199,0.0150
200,200,0.0150
201,201,0.0150
202,202,0.0150
203,203,0.0150
204,204,0.0150
205,205,0.0150
206,206,0.0150
207,207,0.0150
208,208,0.0630
209,209,0.0630
210,210,0.0630
211,211,0.0630
212,212,0.0630
213,213,0.0630
214,214,0.0630
215,215,0.0630
216,216,0.0630
217,217,0.0630
218,218,0.0630
219,219,0.0630
220,220,0.0630
221,221,0.0630
222,222,0.0630
223,223,0.0630
224,224,0.1130
225,225,0.1130
226,226,0.1130
227,227,0.1130
228,228,0.1130
229,229,0.1130
230,230,0.1130
231,231,0.1130
232,232,0.1130
233,233,0.1130
234,234,0.1130
235,235,0.1130
236,236,0.1130
237,237,0.1130
238,238,0.1130
239,239,0.1130
240,240,0.1630
241,241,0.1630
242,242,0.1630
243,243,0.1630
244,244,0.1630
245,245,0.1630
246,246,0.1630
247,247,0.1630
248,248,0.1630
249,249,0.1630
250,250,0.1630
251,251,0.1630
252,252,0.1630
253,253,0.1630
254,254,0.1630
255,255,0.1630
256,256,0.0150
257,257,0.0150
258,258,0.0150
259,259,0.0150
260,260,0.0150
261,261,0.0150
262,262,0.0150
263,263,0.0150
264,264,0.0150
265,265,0.0150
266,266,0.0150
267,267,0.0150
268,268,0.0150
269,269,0.0150
270,270,0.0150
271,271,0.0150
272,272,0.0630
273,273,0.0630
274,274,0.0630
275,275,0.0630
276,276,0.0630
277,277,0.0630
278,278,0.0630
279,279,0.0630
280,280,0.0630
281,281,0.0630
282,282,0.0630
283,283,0.0630
284,284,0.0630
285,285,0.0630
286,286,0.0630
287,287,0.0630
288,288,0.1130
289,289,0.1130
290,290,0.1130
291,291,0.1130
292,292,0.1130
293,293,0.1130
294,294,0.1130
295,295,0.1130
296,296,0.1130
297,297,0.1130
298,298,0.1130
299,299,0.1130
300,300,0.1130
301,301,0.1130
302,302,0.1130
303,303,0.1130
304,304,0.1630
305,305,0.1630
306,306,0.1630
307,307,0.1630
308,308,0.1630
309,309,0.1630
310,310,0.1630
311,311,0.1630
312,312,0.1630
313,313,0.1630
314,314,0.1630
315,315,0.1630
316,316,0.1630
317,317,0.1630
318,318,0.1630
319,319,0.1630
320,320,0.0150
321,321,0.0150
322,322,0.0150
323,323,0.0150
324,324,0.0150
325,325,0.0150
326,326,0.0150
327,327,0.0150
328,328,0.0150
329,329,0.0150
330,330,0.0150
331,331,0.0150
332,332,0.0150
333,333,0.0150
334,334,0.0150
335,335,0.0150
336,336,0.0630
337,337,0.0630
338,338,0.0630
339,339,0.0630
340,340,0.0630
341,341,0.0630
342,342,0.0630
343,343,0.0630
344,344,0.0630
345,345,0.0630
346,346,0.0630
347,347,0.0630
348,348,0.0630
349,349,0.0630
350,350,0.0630
351,351,0.0630
352,352,0.1130
353,353,0.1130
354,354,0.1130
355,355,0.1130
356,356,0.1130
357,357,0.1130
358,358,0.1130
359,359,0.1130
360,360,0.1130
361,361,0.1130
362,362,0.1130
363,363,0.1130
364,364,0.1130
365,365,0.1130
366,366,0.1130
367,367,0.1130
368,368,0.1630
369,369,0.1630
370,370,0.1630
371,371,0.1630
372,372,0.1630
373,373,0.1630
374,374,0.1630
375,375,0.1630
376,376,0.1630
377,377,0.1630
378,378,0.1630
379,379,0.1630
380,380,0.1630
381,381,0.1630
382,382,0.1630
383,383,0.1630
384,384,0.0150
385,385,0.0150
386,386,0.0150
387,387,0.0150
388,388,0.0150
389,389,0.0150
390,390,0.0150
391,391,0.0150
392,392,0.0150
393,393,0.0150
394,394,0.0150
395,395,0.0150
396,396,0.0150
397,397,0.0150
398,398,0.0150
399,399,0.0150
