arrival_order,seq,delay_ms
0,0,0.0150
1,4,0.0150
2,1,0.0630
3,8,0.0150
4,5,0.0630
5,2,0.1130
6,12,0.0150
7,9,0.0630
8,6,0.1130
9,16,0.0150
10,3,0.1630
11,13,0.0639
12,10,0.1130
13,20,0.0150
14,7,0.1630
15,17,0.0639
16,14,0.1130
17,24,0.0150
18,11,0.1630
19,21,0.0639
20,18,0.1130
21,28,0.0150
22,15,0.1630
23,25,0.0639
24,22,0.1130
25,32,0.0150
26,19,0.1630
27,29,0.0639
28,26,0.1130
29,36,0.0150
30,23,0.1630
31,33,0.0639
32,30,0.1130
33,40,0.0150
34,27,0.1630
35,37,0.0639
36,34,0.1130
37,44,0.0150
38,31,0.1630
39,41,0.0639
40,38,0.1130
41,48,0.0150
42,35,0.1630
43,45,0.0639
44,42,0.1130
45,52,0.0150
46,39,0.1630
47,49,0.0639
48,46,0.1130
49,56,0.0150
50,43,0.1630
51,53,0.0639
52,50,0.1130
53,60,0.0150
54,47,0.1630
55,57,0.0639
56,54,0.1130
57,64,0.0150
58,51,0.1630
59,61,0.0639
60,58,0.1130
61,68,0.0150
62,55,0.1630
63,65,0.0639
64,62,0.1130
65,72,0.0150
66,59,0.1630
67,69,0.0639
68,66,0.1130
69,76,0.0150
70,63,0.1630
71,73,0.0639
72,70,0.1130
73,80,0.0150
74,67,0.1630
75,77,0.0639
76,74,0.1130
77,84,0.0150
78,71,0.1630
79,81,0.0639
80,78,0.1130
81,88,0.0150
82,75,0.1630
83,85,0.0639
84,82,0.1130
85,92,0.0150
86,79,0.1630
87,89,0.0639
88,86,0.1130
89,96,0.0150
90,83,0.1630
91,93,0.0639
92,90,0.1130
93,100,0.0150
94,87,0.1630
95,97,0.0639
96,94,0.1130
97,104,0.0150
98,91,0.1630
99,101,0.0639
100,98,0.1130
101,108,0.0150
102,95,0.1630
103,105,0.0639
104,102,0.1130
105,112,0.0150
106,99,0.1630
107,109,0.0639
108,106,0.1130
109,116,0.0150
110,103,0.1630
111,113,0.0639
112,110,0.1130
113,120,0.0150
114,107,0.1630
115,117,0.0639
116,114,0.1130
117,124,0.0150
118,111,0.1630
119,121,0.0639
120,118,0.1130
121,128,0.0150
122,115,0.1630
123,125,0.0639
124,122,0.1130
125,132,0.0150
126,119,0.1630
127,129,0.0639
128,126,0.1130
129,136,0.0150
130,123,0.1630
131,133,0.0639
132,130,0.1130
133,140,0.0150
134,127,0.1630
135,137,0.0639
136,134,0.1130
137,144,0.0150
138,131,0.1630
139,141,0.0639
140,138,0.1130
141,148,0.0150
142,135,0.1630
143,145,0.0639
144,142,0.1130
145,152,0.0150
146,139,0.1630
147,149,0.0639
148,146,0.1130
149,156,0.0150
150,143,0.1630
151,153,0.0639
152,150,0.1130
153,160,0.0150
154,147,0.1630
155,157,0.0639
156,154,0.1130
157,164,0.0150
158,151,0.1630
159,161,0.0639
160,158,0.1130
161,168,0.0150
162,155,0.1630
163,165,0.0639
164,162,0.1130
165,172,0.0150
166,159,0.1630
167,169,0.0639
168,166,0.1130
169,176,0.0150
170,163,0.1630
171,173,0.0639
172,170,0.1130
173,180,0.0150
174,167,0.1630
175,177,0.0639
176,174,0.1130
177,184,0.0150
178,171,0.1630
179,181,0.0639
180,178,0.1130
181,188,0.0150
182,175,0.1630
183,185,0.0639
184,182,0.1130
185,192,0.0150
186,179,0.1630
187,189,0.0639
188,186,0.1130
189,196,0.0150
190,183,0.1630
191,193,0.0639
192,190,0.1130
193,200,0.0150
194,187,0.1630
195,197,0.0639
196,194,0.1130
197,204,0.0150
198,191,0.1630
199,201,0.0639
200,198,0.1130
201,208,0.0150
202,195,0.1630
203,205,0.0639
204,202,0.1130
205,212,0.0150
206,199,0.1630
207,209,0.0639
208,206,0.1130
209,216,0.0150
210,203,0.1630
211,213,0.0639
212,210,0.1130
213,220,0.0150
214,207,0.1630
215,217,0.0639
216,214,0.1130
217,224,0.0150
218,211,0.1630
219,221,0.0639
220,218,0.1130
221,228,0.0150
222,215,0.1630
223,225,0.0639
224,222,0.1130
225,232,0.0150
226,219,0.1630
227,229,0.0639
228,226,0.1130
229,236,0.0150
230,223,0.1630
231,233,0.0639
232,230,0.1130
233,240,0.0150
234,227,0.1630
235,237,0.0639
236,234,0.1130
237,244,0.0150
238,231,0.1630
239,241,0.0639
240,238,0.1130
241,248,0.0150
242,235,0.1630
243,245,0.0639
244,242,0.1130
245,252,0.0150
246,239,0.1630
